region_idx,region_acronym
0,XAM
1,XEU
2,XAF
3,XAS
4,AFG
5,AGO
6,ALB
7,ARE
8,ARG
9,ARM
10,AUS
11,AUT
12,AZE
13,BDI
14,BEL
15,BEN
16,BFA
17,BGD
18,BGR
19,BHR
20,BHS
21,BIH
22,BLR
23,BLZ
24,BOL
25,BRA
26,BRN
27,BTN
28,BWA
29,CAF
30,CAN
31,CHE
32,CHL
33,CHN
34,CIV
35,CMR
36,COD
37,COG
38,COL
39,CRI
40,CUB
41,CYP
42,CZE
43,DEU
44,DJI
45,DYE
46,DNK
47,DOM
48,DZA
49,ECU
50,EGY
51,ERI
52,ESP
53,EST
54,ETH
55,FIN
56,FRA
57,GAB
58,GBR
59,GEO
60,GHA
61,GIN
62,GMB
63,GNQ
64,GRC
65,GTM
66,HND
67,HKG
68,HRV
69,HTI
70,HUN
71,IDN
72,IND
73,IRL
74,IRN
75,IRQ
76,ISL
77,ISR
78,ITA
79,JAM
80,JOR
81,JPN
82,KAZ
83,KEN
84,KGZ
85,KHM
86,KOR
87,KWT
88,LAO
89,LBN
90,LBR
91,LBY
92,LKA
93,LTU
94,LUX
95,LVA
96,MAR
97,MDA
98,MDG
99,MEX
100,MKD
101,MLI
102,MLT
103,MMR
104,MNG
105,MOZ
106,MRT
107,MWI
108,MYS
109,NAM
110,NER
111,NGA
112,NIC
113,NLD
114,NOR
115,NPL
116,NZL
117,OMN
118,PAK
119,PSE
120,PAN
121,PER
122,PHL
123,PNG
124,POL
125,PRK
126,PRT
127,PRY
128,QAT
129,ROU
130,RUS
131,RWA
132,SAU
133,SDS
134,SEN
135,SGP
136,SLE
137,SLV
138,SOM
139,SRB
140,SDN
141,SVK
142,SVN
143,SWE
144,SYR
145,TCD
146,TGO
147,THA
148,TJK
149,TKM
150,TUN
151,TUR
152,TZA
153,UGA
154,UKR
155,URY
156,USA
157,UZB
158,VEN
159,VNM
160,YEM
161,ZAF
162,ZMB
163,ZWE
